ID,Name,Year Published,Bayesian Average,Mechanic,Category
330,Block Mania,1987,5.67204,Action Points,Comic Book / Strip
332,Vernissage,1993,5.57114,Auction/Bidding,Economic
333,Waterworks,1972,5.49616,Take That,Card Game
335,Breakthru,1965,5.54372,Point to Point Movement,Abstract Strategy
336,Jumpin,1964,5.49756,Grid Movement,Abstract Strategy
338,Bargain Hunter,1998,5.88772,Set Collection,Card Game
340,Frank's Zoo,1999,6.20044,Hand Management,Animals
341,Not available,Not available,Not available,Not available,Not available
343,Twins,1996,5.56202,Hand Management,Bluffing
344,Classic Art,1996,5.72674,Betting and Bluffing,Card Game
346,Not available,Not available,Not available,Not available,Not available
348,Merchants of the Middle Ages,1999,5.97629,Commodity Speculation,Economic
349,Halunken & Spelunken,1997,5.51474,Set Collection,Card Game
350,Hattrick,1995,5.632,Trick-taking,Card Game
351,Not available,Not available,Not available,Not available,Not available
353,Inkognito: The Card Game,1997,5.48043,Hand Management,Card Game
355,Das letzte Paradies,1993,5.54504,Auction: Sealed Bid,Environmental
356,Ab die Post!,1996,5.48169,Dice Rolling,Aviation / Flight
357,Excape,1998,5.98239,Dice Rolling,Dice
358,Not available,Not available,Not available,Not available,Not available
360,Quests of the Round Table,1995,5.48143,Not available,Card Game
361,Hare & Tortoise,1973,6.25511,Hand Management,Animals
363,Cat Blues,1998,5.64728,Auction/Bidding,Card Game
365,Tricks,1995,5.50025,Trick-taking,Card Game
366,Viva Pamplona!,1992,5.64643,Dice Rolling,Racing
368,Relationship Tightrope,1999,5.72663,Hand Management,Card Game
370,El Grande: König & Intrigant,1997,5.96469,Area Majority / Influence,Expansion for Base-game
372,Schotten Totten,1999,7.05226,Card Play Conflict Resolution,Card Game
373,Wrott & Swindlers,1995,5.52504,Auction/Bidding,Bluffing
375,6 Billion,1999,5.48076,Area Majority / Influence,Science Fiction
376,DruidenWalzer,1999,5.59828,Mancala,Card Game
377,Neighbors,1989,0,Open Drafting,Economic
378,Lancashire Railways,1998,5.57533,Crayon Rail System,Economic
379,Express,1990,5.65108,Set Collection,Card Game
380,Polarity,1986,5.86721,Stacking and Balancing,Abstract Strategy
382,Heimlich & Co.,1984,6.11402,Hidden Roles,Bluffing
384,TurfMaster,1998,6.05993,Dice Rolling,Animals
386,Pirateer,1978,5.48676,Pick-up and Deliver,Nautical
388,Finale,1998,5.52361,Dice Rolling,Card Game
389,Die Mauer,1997,5.57198,Simultaneous Action Selection,Bluffing
390,Not available,Not available,Not available,Not available,Not available
392,Brawl,1999,5.78762,Real-Time,Card Game
393,Dinosaurs of the Lost World,1987,5.68072,Dice Rolling,Adventure
394,Kahuna,1998,6.39902,Area Majority / Influence,Abstract Strategy
395,Not available,Not available,Not available,Not available,Not available
397,Diskwars,1999,5.57289,Action Points,Collectible Components
398,Wildlife Safari,1994,6.25313,Commodity Speculation,Animals
400,Shanghai,1997,5.48675,Auction/Bidding,Bluffing
402,Not available,Not available,Not available,Not available,Not available
403,Elk Fest,1999,5.79928,Flicking,Action / Dexterity
405,Not available,Not available,Not available,Not available,Not available
407,Not available,Not available,Not available,Not available,Not available
409,Dschungel,1999,5.47912,Memory,Card Game
410,D'raf,1997,5.53089,Tile Placement,Racing
411,Not available,Not available,Not available,Not available,Not available
413,Die Erben von Hoax,1999,5.53232,Voting,Bluffing
415,Espresso,1995,5.50983,Simultaneous Action Selection,Card Game
416,A to Z,1992,5.5663,Dice Rolling,Party Game
417,Edison & Co.,1998,5.34606,Hand Management,Science Fiction
418,Not available,Not available,Not available,Not available,Not available
420,Rail Baron,1977,5.93033,Roll / Spin and Move,Economic
422,1835,1990,5.88174,Auction/Bidding,Economic
424,1870: Railroading Across the Trans Mississippi from 1870,1992,6.13361,Auction/Bidding,Economic
425,Thunder's Edge,1999,5.53728,Modular Board,Political
427,Grass,1980,5.64995,Hand Management,Card Game
428,Galopp Royal,1995,5.54233,Auction/Bidding,Dice
430,Asterix: Das Kartenspiel,1990,5.53374,Simultaneous Action Selection,Bluffing
432,Take 5,1994,6.84142,Hand Management,Card Game
434,Yucata',1996,5.5536,Hand Management,Abstract Strategy
435,Not available,Not available,Not available,Not available,Not available
437,Master Labyrinth,1991,5.91972,Map Deformation,Children's Game
439,Not available,Not available,Not available,Not available,Not available
441,Filthy Rich,1998,5.72574,Dice Rolling,Economic
443,Code 777,1985,6.10786,Paper-and-Pencil,Deduction
445,Die Osterinsel,1994,5.52847,Open Drafting,Racing
447,Not available,Not available,Not available,Not available,Not available
449,The Great Balloon Race,1991,5.57474,Dice Rolling,Aviation / Flight
450,Octi,1999,5.65063,Grid Movement,Abstract Strategy
452,Mummy Rummy,1994,5.45578,Set Collection,Card Game
453,Bohnanza: La Isla Bohnitâ,1998,5.59178,Hand Management,Card Game
455,Am Fuß des Kilimandscharo,1995,5.50653,Hand Management,Children's Game
457,Jumbo Grand Prix,1998,5.52084,Not available,Card Game
458,Sherlock Holmes: The Card Game,1991,5.63256,Not available,Card Game
459,Ausgebremst,1993,5.64079,Hand Management,Racing
460,Railway Rivals,1979,5.68569,Line Drawing,Racing
461,Freibeuter,1998,5.56812,Area Majority / Influence,Economic
463,Magic: The Gathering,1993,7.40122,Betting and Bluffing,Card Game
464,Billabong,1992,5.90567,Grid Movement,Abstract Strategy
465,Zankapfel,1993,5.52352,Commodity Speculation,Bluffing
466,Inkognito,1988,6.1612,Point to Point Movement,Deduction
467,Bohnanza Erweiterungs-Set,1997,5.94157,Hand Management,Card Game
468,Dump,0,0,Not available,Animals
469,In Teufels Küche,1993,5.53512,Pick-up and Deliver,Bluffing
470,Road to the White House,1992,5.56408,Not available,Political
471,Totem,1995,5.49296,Not available,Civilization
472,DungeonQuest,1985,6.16504,Dice Rolling,Adventure
474,Cold War,1984,5.55261,Area Majority / Influence,Economic
475,Taj Mahal,2000,6.87318,Auction: Turn Order Until Pass,Bluffing
476,Mr. President,1967,5.62762,Hand Management,Card Game
477,The Broadway Game,1981,5.54805,Roll / Spin and Move,Economic
478,Citadels,2000,6.94204,Action Drafting,Bluffing
480,Age of Arguments,1998,0,Area Movement,Age of Reason
481,Carolus Magnus,2000,6.33475,Area Majority / Influence,Abstract Strategy
482,Sky Runner,1999,5.50165,Auction/Bidding,Racing
483,Diplomacy,1959,6.74203,Area Majority / Influence,Bluffing
484,Stratego Legends,1999,5.55554,Memory,Abstract Strategy
485,Galloping Pigs,1992,5.58577,Not available,Animals
486,Barnyard Buddies,1996,5.51663,Pattern Recognition,Animals
487,Power,1981,5.5553,Area Movement,Abstract Strategy
488,Stake Your Claim,1985,5.51733,Set Collection,Card Game
489,Pacal,1999,5.53451,Hand Management,Card Game
490,Warangel,2000,5.62102,Dice Rolling,Fantasy
492,Aladdin's Dragons,2000,6.32428,Auction: Multiple Lot,Arabian
493,Not available,Not available,Not available,Not available,Not available
495,Time Pirates,2000,5.50406,Set Collection,Pirates
496,Dilemma,2000,5.48625,Not available,Action / Dexterity
497,Vampire,2000,5.59215,Hand Management,Card Game
498,Sufferin' Spirits,1987,0,Not available,Horror
499,Arbos,1999,5.63235,Not available,Action / Dexterity
500,MARK,1997,5.51494,Not available,Economic
501,Dschungelrennen,1989,5.51958,Not available,Children's Game
502,Bretonenboule,1998,0,Not available,Action / Dexterity
503,Through the Desert,1998,6.90982,Chaining,Abstract Strategy
504,Die Verbotene Stadt,1992,5.53635,Grid Movement,Bluffing
505,Goldener Drache,1992,5.51703,Action Queue,Fantasy
506,The Big Cheese,1998,5.56471,Auction/Bidding,Animals
508,Blue Max,1983,5.9459,Critical Hits and Failures,Aviation / Flight
510,Eschnapur,2000,5.5152,Auction/Bidding,Exploration
511,Silverton,1991,6.0242,Commodity Speculation,American West
513,WarChest,1999,5.52022,Variable Player Powers,Collectible Components
514,True Colors,1989,5.61933,Betting and Bluffing,Deduction
515,6-Tage Rennen,1986,5.63847,Race,Racing
516,Not available,Not available,Not available,Not available,Not available
518,Cat vs. Mouse,2000,0,Not available,Not available
519,Mush,1994,5.5164,Modular Board,Racing
520,Axis & Allies: Europe,1999,5.97013,Area Majority / Influence,Wargame
521,Crokinole,1876,7.76902,Flicking,Action / Dexterity
523,Not available,Not available,Not available,Not available,Not available
525,Pisa,1999,5.54786,Trick-taking,Card Game
527,GIPF,1996,6.45553,Grid Movement,Abstract Strategy
528,ZÈRTZ,1999,6.66324,Grid Movement,Abstract Strategy
529,Charlemagne,1998,5.51019,Auction/Bidding,Medieval
530,Entenrallye,1988,5.5164,Roll / Spin and Move,Racing
531,Merchants of Amsterdam,2000,6.01403,Area Majority / Influence,Economic
533,Labyrinth: The Card Game,2000,5.52056,Network and Route Building,Card Game
534,N.Y. Chase,1999,5.69199,Hand Management,Deduction
535,Power Barons,1986,5.49054,Not available,Card Game
537,Ice Blocks,2000,0,Not available,Abstract Strategy
539,Dampfross,1979,5.69562,Crayon Rail System,Racing
540,Sisimizi,1996,5.58278,Network and Route Building,Abstract Strategy
541,Das Motorsportspiel,1995,5.80053,Roll / Spin and Move,Racing
542,Animocrazy,2000,5.5026,Voting,Card Game
543,Not available,Not available,Not available,Not available,Not available
545,Kaleidos,1994,5.85387,Pattern Recognition,Party Game
547,Flohzirkus,1997,5.51445,Not available,Action / Dexterity
548,Buck Rogers: Battle for the 25th Century Game,1988,5.74559,Area Movement,Comic Book / Strip
549,Aerodrome,1994,5.58014,Action Queue,Aviation / Flight
550,Barbarossa,1988,5.81718,Betting and Bluffing,Deduction
551,Battle Cry,1999,6.49552,Command Cards,American Civil War
553,Chez Geek,1999,5.57613,Set Collection,Card Game
554,La Città,2000,6.56285,Area Majority / Influence,City Building
555,The Princes of Florence,2000,7.23159,Auction/Bidding,City Building
557,Laguna,2000,5.52146,Not available,Puzzle
558,Der weiße Lotus,2000,5.56581,Auction/Bidding,Medieval
559,Metro,1997,6.12915,Network and Route Building,Trains
